,symptom
0,两胁胀满
1,两胁胀满每因情志不畅而发作或加重
2,久站或久坐
3,体重
4,便干
5,便溏
6,便血
7,半夜呛咳
8,反流
9,反酸
10,发热
11,口唇色淡
12,口干不欲饮
13,口干或口苦
14,口淡不渴
15,口臭
16,吞咽困难
17,呕血
18,咽喉不适
19,咽喉不适如有痰梗
20,咽干
21,善叹息
22,喜温喜按
23,嗳气
24,嗳气食少
25,嘈杂
26,声音嘶哑
27,夜间盗汗
28,大便不畅
29,大便腹痛
30,大小便正常
31,失眠
32,头晕
33,小便不尽感
34,小便不畅
35,小便短赤
36,小便短黄
37,尿痛
38,尿色
39,尿量
40,尿频或尿急
41,心悸
42,心烦
43,恶心或呕吐
44,情志不抒
45,抽筋
46,持续性腹痛
47,排便无力
48,易怒
49,易饥
50,气向上冲逆
51,水肿
52,水肿休息后缓解
53,泛吐清水
54,溏滞
55,烧心
56,畏寒肢冷
57,矢气频繁
58,神疲乏力
59,纳呆
60,肠鸣
61,胁肋胀痛
62,胃痛
63,胃痞胀
64,胃胀
65,胃脘痛
66,胸胁胀
67,胸背痛
68,胸闷不舒
69,胸骨堵
70,胸骨痛
71,腹痛
72,腹痛即泻
73,腹痛即泻泻后痛减
74,腹痛发作与情绪变化有关
75,腹胀
76,身体痛
77,面唇色淡
78,面赤
79,食后饱胀
80,食用不洁
81,饥而不欲食
82,高血压或心脏病史
