,symptom
0,口干
1,尿量
2,小便不尽感
3,腹痛
4,善叹息
5,大便不畅
6,口唇色淡
7,怕冷
8,嘈杂
9,腹痛发作与情绪变化有关
10,乏力
11,易怒
12,身体痛
13,腹部胀满不适
14,口臭
15,溏滞
16,胸胁满闷
17,吞咽困难
18,反食
19,寐差
20,呕血
21,脘腹痞满
22,疲乏
23,嗳气食少
24,腹痛即泻
25,泛吐清水
26,手足心热，心烦少眠
27,水肿
28,半夜呛咳
29,尿频或尿急
30,恶心或呕吐
31,心烦
32,胃脘胀满
33,发热
34,小便短赤
35,腹中隐痛
36,食用不洁
37,面色少华，口唇色淡
38,尿急
39,小便短黄
40,纳呆
41,头晕
42,两胁胀满每因情志不畅而发作或加重
43,持续性腹痛
44,咽喉不适如有痰梗
45,呕吐
46,排便不爽
47,胸闷不舒
48,面赤
49,胃胀
50,气向上冲逆
51,食少
52,心悸
53,久站或久坐
54,尿频
55,神疲乏力
56,恶心
57,声音嘶哑
58,胃痛
59,脘腹疼痛
60,便血
61,呕吐物为胃内容物
62,胃脘胀痛
63,腹胀
64,胸骨后疼痛
65,情志不抒
66,饱胀
67,痞闷
68,失眠
69,口干或口苦
70,四肢不温
71,大便腹痛
72,咽喉不适
73,不欲饮食
74,水肿休息后缓解
75,乏力懒言
76,排便无力
77,身体虚寒
78,尿色
79,体重
80,胃脘痞满
81,胃脘疼痛
82,嗳气
83,腹中拘急冷痛，得温痛减
84,易饥
85,腹痛即泻泻后痛减
86,胸胁胀闷
87,大便干结
88,喜温喜按
89,夜间盗汗
90,胃脘痞闷
91,两胁胀满
92,咽干
93,胁肋胀痛
94,肠鸣
95,口干不欲饮
96,胃痞胀满
97,抽筋
98,烧心
99,呃逆
100,胸骨后梗阻感
101,口淡不渴
102,夜寐欠安
103,矢气频
104,反酸
105,大便艰涩
106,胸背痛
107,尿痛
108,高血压或心脏病史
109,大小便正常
110,口苦
